init_node,term_node,capacity,length,free_flow_time,b,power,simu_g/c,gamma,n',neta,no_signal,accurate_g/c
38,37,2311,0.98104,0.98104,0.15,4,0.25,0.8,3.2,1,,
38,77,4946,2.74043,2.74043,0.15,4,0.25,0.8,3.2,1,,
38,80,3553,1.81028,1.81028,0.15,4,0.25,0.8,3.2,1,,
39,35,4933,3.55514,3.55514,0.15,4,0.2,0.8,3.2,1,,
39,40,2529,1.54929,1.54929,0.15,4,0.2,0.8,3.2,1,,
39,43,7971,6.09082,6.09082,0.15,4,0.2,0.8,3.2,1,,
39,52,1629,0.79788,0.79788,0.15,4,0.2,0.8,3.2,1,,
39,77,1738,0.88868,0.88868,0.15,4,0.2,0.8,3.2,1,,
40,39,4215,1.54929,1.54929,0.15,4,0.333333333,0.8,3.2,1,,
40,41,2592,0.73642,0.73642,0.15,4,0.333333333,0.8,3.2,1,,
40,48,2439,0.65946,0.65946,0.15,4,0.333333333,0.8,3.2,1,,
41,3,8260,0.8172,0.8172,0.15,4,1,0.8,3.2,1,1,
41,40,1944,0.73642,0.73642,0.15,4,0.25,0.8,3.2,1,,
41,42,3267,1.61956,1.61956,0.15,4,0.25,0.8,3.2,1,,
41,50,1681,0.56048,0.56048,0.15,4,0.25,0.8,3.2,1,,
42,2,13995,1.77454,1.77454,0.15,4,1,0.8,3.2,1,1,
42,3,10072,1.11979,1.11979,0.15,4,1,0.8,3.2,1,1,
42,41,4356,1.61956,1.61956,0.15,4,0.333333333,0.8,3.2,1,,
43,39,9961,6.08947,6.08947,0.15,4,0.25,0.8,3.2,1,,
43,44,5488,3.10233,3.10233,0.15,4,0.25,0.8,3.2,1,,
43,60,5007,2.78141,2.78141,0.15,4,0.25,0.8,3.2,1,,
43,64,3692,1.90371,1.90371,0.15,4,0.25,0.8,3.2,1,,
44,43,5488,3.10233,3.10233,0.15,4,0.25,0.8,3.2,1,,
44,45,1467,0.4175,0.4175,0.15,4,0.25,0.8,3.2,1,,
44,46,1818,0.65229,0.65229,0.15,4,0.25,0.8,3.2,1,,
44,56,3547,1.80642,1.80642,0.15,4,0.25,0.8,3.2,1,,
45,44,1955,0.4175,0.4175,0.15,4,0.333333333,0.8,3.2,1,,
45,46,2300,0.5902,0.5902,0.15,4,0.333333333,0.8,3.2,1,,
45,60,7368,3.1283,3.1283,0.15,4,0.333333333,0.8,3.2,1,,
46,44,1455,0.65229,0.65229,0.15,4,0.2,0.8,3.2,1,,
46,45,1380,0.5902,0.5902,0.15,4,0.2,0.8,3.2,1,,
46,57,14483,1.85601,1.85601,0.15,4,1,0.8,3.2,1,1,
46,62,24033,3.45025,3.45025,0.15,4,1,0.8,3.2,1,1,
46,157,4141,2.89472,2.89472,0.15,4,0.2,0.8,3.2,1,,
47,49,3769,1.32597,1.32597,0.15,4,0.333333333,0.8,3.2,1,,
47,51,8764,0.90143,0.90143,0.15,4,1,0.8,3.2,1,1,
47,55,12510,1.52672,1.52672,0.15,4,1,0.8,3.2,1,1,
48,40,1829,0.65946,0.65946,0.15,4,0.25,0.8,3.2,1,,
48,49,1733,0.59502,0.59502,0.15,4,0.25,0.8,3.2,1,,
48,50,1911,0.71446,0.71446,0.15,4,0.25,0.8,3.2,1,,
48,53,1980,0.76023,0.76023,0.15,4,0.25,0.8,3.2,1,,
49,47,2827,1.32597,1.32597,0.15,4,0.25,0.8,3.2,1,,
49,48,1733,0.59502,0.59502,0.15,4,0.25,0.8,3.2,1,,
49,53,2011,0.78094,0.78094,0.15,4,0.25,0.8,3.2,1,,
49,54,4912,2.71776,2.71776,0.15,4,0.25,0.8,3.2,1,,
50,41,2241,0.56048,0.56048,0.15,4,0.333333333,0.8,3.2,1,,
50,48,2548,0.71446,0.71446,0.15,4,0.333333333,0.8,3.2,1,,
50,51,2545,0.71263,0.71263,0.15,4,0.333333333,0.8,3.2,1,,
51,3,10973,1.27006,1.27006,0.15,4,1,0.8,3.2,1,1,
51,47,8764,0.90143,0.90143,0.15,4,1,0.8,3.2,1,1,
51,50,2545,0.71263,0.71263,0.15,4,0.333333333,0.8,3.2,1,,
52,39,2715,0.79806,0.79806,0.15,4,0.333333333,0.8,3.2,1,,
52,53,2609,0.74483,0.74483,0.15,4,0.333333333,0.8,3.2,1,,
52,77,3343,1.11243,1.11243,0.15,4,0.333333333,0.8,3.2,1,,
53,48,2640,0.76023,0.76023,0.15,4,0.333333333,0.8,3.2,1,,
53,49,2681,0.78094,0.78094,0.15,4,0.333333333,0.8,3.2,1,,
53,52,2609,0.74483,0.74483,0.15,4,0.333333333,0.8,3.2,1,,
54,49,6549,2.71776,2.71776,0.15,4,0.333333333,0.8,3.2,1,,
